record_id,record_type,sap_id,name1,name2,street,city,state,postal_code,country,tax_id,iban,phone,email,data_source,created_year
V037,VENDOR,LF10037,Lakeside Chemical Corp,,502 Lake Shore Dr,Chicago,IL,60602,US,,,312-555-2500,,MANUAL_ENTRY,2011
V038,VENDOR,LF10038,Pacific Rim Trading LLC,,888 Harbor Blvd,Los Angeles,CA,90001,US,95-1234567,,213-555-2600,,LEGACY,2003
V039,VENDOR,LF10039,Pacific Rim Trading Corp,,777 Harbor Blvd,Los Angeles,CA,90002,US,95-7654321,,310-555-2700,,LEGACY,2006
V040,VENDOR,LF10040,Continental Foods Group,,300 Corporate Dr,Minneapolis,MN,55402,US,41-1234567,,612-555-2800,,LEGACY,1991
V041,VENDOR,LF10041,Continental Foods Distribution LLC,,300 Corporate Dr,Minneapolis,MN,55402,US,41-8765432,,612-555-2900,,MANUAL_ENTRY,2008
V042,VENDOR,LF10042,National Parts Supply,,1500 Auto Parts Blvd,Detroit,MI,48202,US,,,313-555-3000,,LEGACY,1996
V043,VENDOR,LF10043,National Parts Inc,,2200 Industrial Pkwy,Dearborn,MI,48126,US,,,734-555-3100,,LEGACY,2001
V044,VENDOR,LF10044,Cascade Plastics Corp,,100 Cascade Way,Portland,OR,97201,US,93-1234567,IBAN020,503-555-3200,info@cascadeplastics.com,LEGACY,2000
V045,VENDOR,LF10045,Iron Bridge Fabricators,,2000 Bridge St,Pittsburgh,PA,15202,US,25-2345678,IBAN021,412-555-3300,,LEGACY,1994
V046,VENDOR,LF10046,Delta Fluid Systems,,300 Delta Dr,Houston,TX,77001,US,74-3456789,,713-555-3400,procurement@deltafluid.com,LEGACY,2002
V047,VENDOR,LF10047,Granite State Machining,,750 Precision Blvd,Manchester,NH,03101,US,02-4567890,,603-555-3500,,LEGACY,1999
V048,VENDOR,LF10048,Blue Ridge Components,,450 Mountain Industrial Rd,Charlotte,NC,28201,US,56-5678901,IBAN023,704-555-3600,,LEGACY,2001
C004,CUSTOMER,KN10004,Westfield Electronics Inc,,200 Tech Park Dr,Austin,TX,78701,US,74-6789012,,512-555-3700,purchasing@westfieldelec.com,LEGACY,2005
C005,CUSTOMER,KN10005,Meridian Aerospace Parts,,1 Aerospace Blvd,Seattle,WA,98101,US,91-7890123,,206-555-3800,,LEGACY,2003
C006,CUSTOMER,KN10006,Crown Industrial Supply,,600 Crown Ct,Baltimore,MD,21201,US,52-8901234,IBAN025,410-555-3900,,LEGACY,2000
V049,VENDOR,LF10049,Sunrise Metal Works,,75 Sunrise Industrial Dr,Phoenix,AZ,85001,US,86-9012345,,602-555-4000,,LEGACY,1997
V050,VENDOR,LF10050,Northland Paper & Packaging,,900 Forest Products Way,Green Bay,WI,54301,US,39-0123456,,920-555-4100,info@northlandpaper.com,LEGACY,2006
